Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 781,10 936,13 280,16 699,19 926,22 308,25 194,30 129,36 157,56 441,23 885
1999/00,7 945,11 474,14 131,17 669,21 051,23 522,27 515,32 119,38 266,58 997,25 269
2000/01,7 698,11 559,14 136,17 604,21 016,23 843,27 466,32 784,39 352,60 837,25 630
2001/02,7 990,12 501,15 105,18 428,21 480,25 147,28 596,33 931,40 794,65 515,26 949
2002/03,8 457,13 103,15 472,19 104,21 875,25 374,29 286,34 876,42 148,68 378,27 807
2003/04,9 409,13 926,16 813,20 001,22 957,26 020,30 134,35 131,42 647,72 392,28 943
2004/05,9 973,14 374,17 685,20 957,23 590,26 372,30 491,35 330,43 138,71 579,29 349
2005/06,10 246,15 160,18 310,21 429,23 909,27 045,30 493,35 600,42 866,70 680,29 574
2006/07,10 364,15 286,18 323,21 193,24 178,27 428,31 645,36 377,43 367,69 202,29 736
2007/08,9 846,14 959,17 883,21 021,23 978,27 107,31 528,36 793,44 250,71 103,29 847
2008/09,9 568,14 888,17 221,20 330,24 764,27 673,32 728,36 714,45 298,71 792,30 097
2009/10,9 355,14 745,17 722,20 497,24 323,27 739,32 153,36 803,46 153,74 852,30 434
2010/11,9 824,15 319,18 285,21 447,24 863,28 586,33 144,38 164,45 909,76 044,31 159
2011/12,9 799,15 285,18 296,21 145,24 366,27 568,32 115,37 361,45 743,76 557,30 824
2012/13,9 952,15 291,18 143,21 045,24 152,27 529,31 116,37 615,45 720,75 430,30 599
2013/14,9 717,15 156,18 339,20 869,23 628,27 083,30 506,35 627,42 692,71 321,29 494
2014/15,10 095,15 492,18 639,21 079,23 956,27 738,31 473,36 784,44 337,68 466,29 806
2015/16,9 433,16 581,19 349,22 024,24 613,28 215,32 015,37 340,43 983,65 961,29 951
2016/17,9 378,15 973,19 219,21 809,25 292,28 781,32 949,38 280,45 634,71 527,30 884
2017/18,9 286,16 109,19 447,22 466,25 213,28 743,33 093,37 676,44 123,74 917,31 107
