Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 409,9 924,11 964,14 295,16 999,19 570,22 865,27 992,34 092,56 049,22 116
1999/00,6 829,10 074,11 921,14 172,16 725,19 339,23 119,27 949,33 780,57 626,22 153
2000/01,6 637,10 381,12 327,14 455,16 681,19 696,23 609,27 796,34 735,57 043,22 336
2001/02,6 542,10 287,12 583,14 991,17 317,20 529,24 181,28 222,36 681,56 391,22 772
2002/03,7 548,11 422,13 929,16 330,18 905,22 045,26 225,31 103,37 753,59 300,24 456
2003/04,8 232,12 274,15 172,17 207,20 464,23 207,27 255,31 191,37 697,59 304,25 200
2004/05,8 788,13 062,15 369,18 298,20 655,23 744,27 260,31 483,37 411,56 556,25 263
2005/06,8 916,13 104,15 559,18 475,20 653,23 692,27 853,30 487,36 563,55 151,25 045
2006/07,8 692,13 361,16 529,18 955,22 102,25 502,28 967,32 583,41 151,60 499,26 834
2007/08,9 473,13 664,16 474,19 600,22 376,26 968,30 114,33 912,39 686,62 798,27 506
2008/09,8 882,13 179,15 936,19 321,20 961,26 000,29 567,33 377,39 754,62 980,26 996
2009/10,9 254,13 514,16 188,19 267,21 523,25 398,28 615,33 518,38 774,69 135,27 519
2010/11,9 431,14 025,16 469,18 033,22 485,24 257,28 125,33 016,38 430,67 198,27 147
2011/12,8 831,14 508,16 907,19 254,22 114,25 547,29 423,33 402,40 250,69 725,27 996
2012/13,7 689,13 719,16 276,18 706,21 218,24 476,29 094,31 700,38 114,60 441,26 143
2013/14,7 151,13 464,16 181,18 764,21 514,25 481,29 094,33 306,41 100,59 678,26 573
2014/15,8 833,13 843,16 679,19 631,22 192,25 349,29 485,33 372,39 895,60 084,26 936
2015/16,9 968,14 641,17 170,20 623,22 659,25 458,28 666,34 034,40 678,59 615,27 351
2016/17,10 170,14 758,17 871,19 914,22 969,25 087,29 129,33 471,40 944,67 873,28 219
2017/18,10 350,14 502,17 850,20 121,23 055,25 573,29 143,34 545,41 126,65 343,28 161
