Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 266,10 542,13 049,15 915,18 766,21 592,24 546,29 033,35 061,55 535,23 130
1999/00,7 334,10 880,13 385,16 324,18 914,21 788,25 426,30 319,36 248,57 690,23 831
2000/01,7 288,11 105,13 527,16 450,18 966,22 170,25 570,30 414,36 732,59 724,24 195
2001/02,7 511,11 812,14 304,17 075,19 827,23 079,26 699,30 685,37 891,61 557,25 044
2002/03,7 852,12 521,15 146,17 768,20 944,23 808,27 054,32 068,39 221,61 978,25 836
2003/04,8 694,13 386,16 118,19 011,22 219,25 260,28 648,33 026,40 887,63 467,27 072
2004/05,9 668,14 600,17 527,20 580,23 838,26 716,30 497,35 565,42 655,64 656,28 630
2005/06,10 293,14 776,17 668,20 720,23 750,27 071,30 797,35 654,43 053,65 709,28 949
2006/07,9 937,14 614,17 418,20 102,23 568,26 371,30 659,35 776,43 696,66 603,28 874
2007/08,9 300,13 884,16 951,19 526,22 826,26 161,30 596,35 280,43 865,67 980,28 637
2008/09,8 896,14 027,17 020,19 619,23 152,26 737,30 908,36 200,44 926,69 178,29 066
2009/10,8 894,14 460,17 325,19 943,23 868,27 406,31 518,36 531,44 501,68 066,29 251
2010/11,9 323,14 842,17 694,20 615,24 042,27 541,31 476,37 574,44 376,68 533,29 602
2011/12,9 639,15 280,18 216,20 865,24 314,27 675,31 894,37 407,44 248,69 524,29 906
2012/13,9 487,15 152,18 018,21 130,24 189,27 252,31 671,37 163,43 558,70 348,29 797
2013/14,9 632,15 147,17 738,20 548,23 408,26 514,30 289,35 551,43 607,67 036,28 947
2014/15,9 087,15 102,17 890,20 592,23 164,26 816,30 382,34 897,43 382,69 764,29 108
2015/16,8 941,14 941,17 952,20 269,23 135,26 542,30 412,35 190,44 230,69 345,29 096
2016/17,9 171,15 360,18 411,21 027,24 044,27 611,31 506,36 560,46 289,73 287,30 326
2017/18,9 378,15 116,18 816,21 228,24 272,27 616,31 832,37 111,45 159,70 845,30 137
