Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,8 170,11 570,14 115,16 892,19 553,22 551,25 860,30 057,36 534,60 142,24 544
1999/00,8 184,11 757,14 280,17 196,19 926,23 129,26 675,31 206,38 228,63 559,25 414
2000/01,8 118,11 908,14 619,17 565,20 340,23 697,27 833,32 282,38 607,63 759,25 873
2001/02,8 162,12 573,15 609,18 370,21 336,24 821,28 577,33 545,40 628,71 580,27 520
2002/03,8 723,13 845,16 658,19 384,22 998,26 978,30 371,35 355,42 816,70 603,28 773
2003/04,9 477,14 405,17 489,20 459,24 115,27 215,30 883,36 157,43 428,70 829,29 446
2004/05,10 187,15 450,18 773,22 129,25 340,29 087,32 352,38 114,45 258,66 883,30 357
2005/06,10 272,15 750,19 109,22 248,25 358,28 727,32 719,37 907,45 070,70 334,30 749
2006/07,9 994,15 993,19 454,22 778,25 725,29 400,33 827,38 789,47 078,75 649,31 869
2007/08,9 962,15 977,19 693,22 793,25 914,29 218,33 470,38 655,47 141,78 854,32 168
2008/09,10 088,16 669,20 214,23 322,26 210,29 486,33 582,38 661,48 576,79 124,32 593
2009/10,10 635,16 828,20 201,22 856,26 428,29 189,33 534,39 576,47 017,75 533,32 180
2010/11,10 995,16 767,19 868,22 438,25 614,28 849,32 760,39 632,47 273,80 509,32 471
2011/12,11 499,16 878,19 492,22 135,25 057,28 548,32 194,38 973,46 687,78 461,31 992
2012/13,12 201,16 890,19 681,21 948,25 061,28 351,32 221,38 214,47 366,82 281,32 421
2013/14,10 447,16 563,19 328,21 721,24 767,28 343,31 612,37 172,45 628,74 670,31 025
2014/15,10 067,16 337,19 208,21 602,24 742,28 934,32 798,37 939,46 127,75 199,31 295
2015/16,9 506,16 494,19 714,22 296,25 231,28 841,32 830,37 373,44 892,71 443,30 862
2016/17,11 527,17 072,20 029,23 186,26 055,30 792,34 865,39 763,47 970,75 205,32 646
2017/18,11 945,18 049,20 946,24 266,26 913,30 831,34 854,39 944,48 818,77 611,33 418
