Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,6 421,9 680,11 926,14 396,16 818,19 640,23 053,27 440,33 513,54 188,21 707
1999/00,6 516,10 077,12 065,14 075,17 268,19 920,23 045,27 721,32 688,48 879,21 226
2000/01,6 988,10 475,12 769,14 542,18 306,20 541,24 385,27 308,32 086,49 339,21 674
2001/02,7 941,11 493,13 783,16 620,18 947,22 226,25 484,28 888,34 978,53 488,23 385
2002/03,8 305,12 029,14 784,17 325,19 874,22 883,25 913,30 560,36 948,56 675,24 529
2003/04,8 242,12 612,15 750,18 081,20 655,24 140,27 040,31 701,38 951,61 360,25 853
2004/05,8 931,13 478,16 360,18 725,21 336,24 682,27 341,32 287,38 767,62 078,26 398
2005/06,8 761,14 194,16 868,19 571,21 412,25 173,28 050,32 354,39 511,61 622,26 751
2006/07,9 264,14 185,16 921,19 978,22 845,25 576,28 917,34 883,41 071,64 497,27 814
2007/08,7 807,13 228,16 372,19 448,22 272,25 158,29 473,34 853,43 091,70 738,28 244
2008/09,7 469,13 407,16 176,19 033,22 319,26 180,30 082,35 742,45 207,75 947,29 156
2009/10,7 488,13 695,16 670,19 583,22 524,25 640,30 385,34 723,43 609,76 148,29 047
2010/11,8 766,13 970,18 037,20 112,22 920,26 485,29 979,35 564,43 331,74 761,29 392
2011/12,9 380,14 809,16 982,20 205,22 321,25 288,29 183,33 963,41 413,68 385,28 193
2012/13,9 251,14 993,16 901,19 220,21 994,24 771,28 438,33 841,41 404,66 430,27 724
2013/14,9 633,14 816,17 193,20 036,22 685,24 952,28 439,32 785,41 070,61 417,27 303
2014/15,9 272,15 189,17 611,20 229,22 920,26 499,29 505,34 537,41 517,68 162,28 544
2015/16,9 687,15 581,18 199,21 339,23 679,26 147,31 533,35 973,44 375,70 405,29 692
2016/17,9 668,15 360,18 167,21 029,24 195,26 915,32 775,36 720,43 915,69 644,29 839
2017/18,10 118,15 344,18 745,21 461,24 577,28 274,31 772,37 023,43 944,64 757,29 601
