Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 193,10 618,12 956,15 727,18 576,21 912,24 702,29 291,35 672,58 246,23 489
1999/00,7 286,11 212,13 495,16 701,19 529,22 694,26 194,30 748,37 897,65 160,25 092
2000/01,8 089,12 015,14 840,17 778,20 975,23 565,27 593,31 963,38 864,64 261,25 994
2001/02,8 187,12 139,15 037,17 928,21 510,24 094,28 023,32 582,39 796,65 567,26 486
2002/03,8 400,12 688,15 363,18 284,21 380,24 428,28 533,33 188,39 398,60 802,26 246
2003/04,7 982,12 564,15 537,18 377,21 487,24 709,28 824,33 344,40 194,66 401,26 942
2004/05,8 529,13 449,16 410,19 017,22 037,25 311,29 608,34 007,41 808,67 588,27 776
2005/06,8 695,14 049,16 811,20 083,22 692,26 664,30 612,35 803,43 492,76 780,29 568
2006/07,8 881,14 577,17 462,20 085,23 696,27 091,31 366,37 188,44 636,74 015,29 900
2007/08,8 510,14 346,17 514,20 664,23 951,27 275,31 818,37 078,45 809,73 042,30 001
2008/09,8 693,14 136,17 071,20 243,23 353,27 121,31 107,36 091,45 202,72 739,29 575
2009/10,9 412,14 304,17 447,20 944,23 713,27 063,30 769,36 337,44 500,71 576,29 606
2010/11,9 601,14 634,17 141,20 375,23 203,26 390,30 767,35 748,43 996,69 973,29 183
2011/12,10 261,14 420,17 343,20 493,23 455,26 734,30 333,35 770,43 330,64 450,28 659
2012/13,9 986,14 274,17 481,20 276,23 437,26 899,30 900,35 345,40 964,66 409,28 597
2013/14,9 644,14 264,16 833,20 114,23 416,27 407,31 064,35 947,42 634,68 457,28 978
2014/15,8 984,13 833,16 973,19 943,23 682,27 418,31 345,35 827,43 922,70 560,29 249
2015/16,8 462,14 200,16 749,19 578,23 389,26 847,31 187,35 784,44 506,69 306,29 001
2016/17,8 882,14 584,17 718,20 851,23 693,27 587,32 066,36 902,44 362,70 048,29 669
2017/18,9 493,15 171,18 267,21 227,24 055,27 795,32 603,37 790,45 221,74 681,30 630
