Food Category;2001-02;2002-03;2003-04;2004-05;2005-06;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;201516;201617;201718;201819
Milk and milk products excluding cheese;1763;1735;1825;1827;1864;1751;1887;1798;1847;1766;1712;1818;1746;1697;1752;1772;1700;1700;1579
Fresh and processed fruit and vegetables, including potatoes;3587;3657;3637;3592;3901;3809;3832;3636;3539;3498;3530;3377;3272;3217;3260;3286;3238;3378;2928
Fresh and processed vegetables, including potatoes;1932;1945;1989;1959;2052;2063;2076;2030;1935;1960;1939;1877;1798;1860;1879;1894;1889;2035;1735
Fresh and processed potatoes;633;653;670;637;637;678;652;657;595;605;626;566;514;573;552;547;502;576;511
Processed potatoes;171;180;185;179;167;172;164;182;167;167;169;182;175;186;173;172;175;167;168
Fresh and processed fruit and vegetables, excluding potatoes;2954;3004;2967;2954;3264;3131;3180;2979;2944;2893;2904;2810;2757;2644;2709;2739;2737;2803;2417
Fresh and processed vegetables, excluding potatoes;1298;1291;1319;1321;1415;1385;1424;1373;1339;1355;1313;1310;1284;1286;1327;1347;1387;1459;1224
Processed vegetables excluding processed potatoes;327;365;383;343;363;364;337;387;371;357;367;387;392;350;374;381;386;441;390
Fresh and processed fruit;1656;1713;1648;1633;1849;1746;1756;1606;1605;1538;1592;1500;1473;1358;1382;1392;1349;1343;1193
Brown and wholemeal bread;153;179;155;179;203;207;198;196;168;171;193;157;162;141;141;139;122;127;126
