Food Group;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Liquid wholemilk, including school and welfare;ml;315;303;299;273;220;213;246;262;218;206;215;155;141;149;183;187;157;211;154
Other milk and cream;ml;1447;1431;1526;1554;1644;1538;1641;1537;1629;1560;1497;1663;1605;1548;1569;1585;1543;1490;1425
Processed potatoes;g;171;180;185;179;167;172;164;182;167;167;169;182;175;186;173;172;175;167;168
Fresh green vegetables;g;274;265;264;272;292;272;292;245;231;233;224;229;213;217;232;237;236;262;192
Other fresh vegetables;g;698;661;673;706;760;748;795;741;737;765;722;694;678;719;720;729;765;756;642
Processed vegetables excluding processed potatoes;g;327;365;383;343;363;364;337;387;371;357;367;387;392;350;374;381;386;441;390
Fresh fruit;g;1056;1070;1060;1080;1210;1096;1173;1016;1021;1004;1004;945;946;940;952;983;979;968;833
Processed fruit and fruit products;g;600;643;588;553;639;650;584;590;584;534;588;555;527;418;430;410;371;375;360
White bread;g;306;295;286;220;180;181;165;183;182;168;157;145;137;138;137;138;112;124;113
Brown and wholemeal bread;g;153;179;155;179;203;207;198;196;168;171;193;157;162;141;141;139;122;127;126
