Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;
Milk and milk products excluding cheese;ml;2112;2049;2130;2004;1930;2005;2046;1958;1952;1795;1927;1864;1772;1727;1918;1903;1646;1823;1839;;;;;;;;
Cheese;g;86;89;84;95;111;87;87;85;82;82;93;82;88;86;88;92;95;109;90;;;;;;;;
Carcase meat;g;189;176;173;217;207;217;224;176;203;167;183;173;150;187;153;142;152;126;123;;;;;;;;
Non-carcase meat and meat products;g;766;713;774;781;727;713;688;773;682;719;785;739;686;699;699;689;699;678;697;;;;;;;;
Fish;g;138;129;119;137;143;149;132;122;124;117;117;107;138;137;108;110;105;122;126;;;;;;;;
Eggs;no.;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;;;;;;;;
Fats;g;216;208;187;202;192;204;213;194;180;197;194;188;165;175;195;185;143;158;173;;;;;;;;
Sugar and preserves;g;182;169;169;157;134;140;147;142;129;129;154;155;164;118;136;132;115;100;110;;;;;;;;
Fresh and processed fruit and vegetables, including potatoes;g;2628;2711;2527;2625;2855;2572;2614;2465;2392;2193;2397;2363;2445;2375;2518;2530;2272;2441;2415;;;;;;;;
Fresh and processed vegetables, including potatoes;g;1824;1818;1738;1735;1907;1607;1719;1649;1585;1518;1640;1616;1573;1581;1610;1613;1421;1553;1561;;;;;;;;
Fresh and processed potatoes;g;980;877;877;816;920;726;761;779;695;706;796;718;639;686;669;685;609;662;645;;;;;;;;
Fresh and processed fruit and vegetables, excluding potatoes;g;1648;1834;1651;1809;1935;1846;1853;1686;1697;1487;1600;1645;1807;1688;1850;1844;1663;1779;1770;;;;;;;;
Fresh and processed vegetables, excluding potatoes;g;844;941;861;919;987;881;958;870;890;812;844;898;934;895;942;928;812;891;916;;;;;;;;
Fresh and processed fruit;g;805;893;789;890;948;964;895;816;807;675;756;747;873;793;908;917;851;888;854;;;;;;;;
Bread;g;780;746;719;708;689;634;681;645;589;591;646;606;595;546;544;549;549;514;520;;;;;;;;
Flour;g;64;43;61;62;77;85;61;49;43;76;73;115;55;56;97;88;59;45;27;;;;;;;;
Cakes, buns and pastries;g;123;128;126;130;131;115;140;119;114;115;121;115;113;118;144;135;134;139;147;;;;;;;;
Biscuits and crispbreads;g;153;156;142;167;142;143;156;157;129;137;147;134;147;155;160;167;183;175;142;;;;;;;;
Other cereals and cereal products;g;502;474;481;470;512;504;523;525;523;459;512;491;504;553;565;597;482;501;466;;;;;;;;
Beverages;g;56;51;49;61;57;46;52;52;43;49;48;51;51;51;55;54;41;49;52;;;;;;;;
Other food and drink;g;506;524;572;588;518;644;580;550;571;573;679;686;709;654;749;788;874;810;709;;;;;;;;
Soft drinks;ml;1811;1767;1834;1839;1739;1819;1715;1644;1722;1663;1502;1651;1471;1542;1434;1396;1809;1186;1676;;;;;;;;
Confectionery;g;107;105;103;121;103;93;105;116;103;96;110;97;106;119;108;117;110;117;113;;;;;;;;
Alcoholic drinks;ml;449;421;537;542;474;461;537;535;469;609;522;493;420;365;463;492;533;521;565;;;;;;;;
