Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 697,11 786,14 646,17 475,20 658,23 602,27 623,32 270,39 917,65 014,26 069
1999/00,8 156,12 386,15 092,17 928,21 499,24 609,29 045,33 880,42 414,68 476,27 348
2000/01,8 732,12 951,16 090,19 044,22 624,25 759,29 744,34 808,42 772,68 971,28 150
2001/02,8 724,13 352,16 712,19 882,23 457,27 326,31 297,36 599,44 311,70 338,29 200
2002/03,8 988,14 272,17 712,21 127,24 344,27 788,32 080,37 242,46 230,72 002,30 178
2003/04,9 237,14 566,17 983,21 387,24 809,28 786,33 139,39 080,48 222,78 660,31 587
2004/05,10 268,15 518,18 836,22 501,25 678,29 519,34 309,39 933,50 638,81 684,32 888
2005/06,10 214,15 987,19 624,22 847,26 703,30 768,35 377,40 784,49 826,85 065,33 719
2006/07,9 919,16 261,19 591,24 079,26 918,30 835,35 966,41 728,50 906,82 304,33 851
2007/08,9 875,16 412,20 022,23 518,26 376,30 768,34 591,42 617,50 966,88 846,34 399
2008/09,10 229,16 355,20 128,23 627,26 658,30 655,35 858,42 610,51 498,89 445,34 706
2009/10,10 554,16 037,19 642,23 338,27 098,31 023,36 776,42 779,52 002,89 873,34 912
2010/11,10 280,15 638,19 329,23 801,27 626,31 773,37 321,44 022,53 795,86 953,35 054
2011/12,10 298,15 738,19 429,22 797,26 638,31 108,35 595,43 422,52 991,83 332,34 135
2012/13,10 662,16 157,19 253,22 686,25 707,29 514,34 460,41 079,51 345,80 369,33 123
2013/14,10 707,16 428,19 696,22 426,25 083,29 397,34 130,40 646,50 541,81 342,33 040
2014/15,10 875,16 324,19 609,22 533,26 656,30 058,35 028,41 440,50 975,84 494,33 799
2015/16,10 783,16 563,20 652,23 528,27 698,31 898,37 016,42 092,53 107,88 661,35 200
2016/17,10 961,16 716,20 318,23 494,27 126,31 500,36 376,41 657,49 909,82 439,34 049
2017/18,10 770,16 814,20 696,23 480,27 809,32 114,36 679,42 470,52 632,83 848,34 731
