Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 492,11 619,14 310,17 592,21 011,24 778,29 827,36 249,46 374,86 935,29 619
1999/00,7 553,11 952,15 007,18 759,22 644,27 187,32 405,39 273,49 857,99 551,32 419
2000/01,7 599,12 010,15 475,19 792,24 213,28 795,34 508,41 807,52 847,107 570,34 461
2001/02,7 835,12 429,16 400,21 301,25 630,31 324,37 533,44 709,55 927,117 264,37 035
2002/03,8 117,13 094,16 819,21 649,26 754,32 553,38 507,45 832,57 195,114 365,37 489
2003/04,8 282,13 841,17 667,22 213,27 199,33 202,38 700,45 433,56 803,117 229,38 057
2004/05,8 711,14 247,17 928,21 949,26 447,32 169,37 997,44 627,56 284,111 879,37 224
2005/06,8 548,14 901,18 208,22 168,26 586,31 669,37 681,44 175,56 587,113 202,37 373
2006/07,8 991,14 855,18 293,21 928,26 725,32 170,38 664,46 025,59 160,115 745,38 256
2007/08,9 075,14 470,18 617,22 157,26 724,32 308,39 804,47 050,60 756,116 734,38 769
2008/09,8 954,14 581,18 376,22 296,26 292,31 259,38 580,45 592,59 581,114 821,38 033
2009/10,9 191,14 822,18 982,22 262,26 223,30 457,37 252,45 757,60 280,110 892,37 612
2010/11,9 811,15 797,19 362,22 535,26 019,30 566,37 683,45 610,59 833,120 687,38 790
2011/12,10 719,16 312,19 604,22 553,24 839,31 682,36 706,44 542,60 019,122 117,38 909
2012/13,9 889,15 372,18 310,21 860,24 834,29 226,35 546,43 614,56 388,117 375,37 241
2013/14,9 418,14 649,18 007,21 038,23 764,28 738,35 077,42 390,52 922,107 501,35 350
2014/15,8 804,14 925,18 193,21 707,24 555,30 280,36 598,45 516,58 525,102 380,36 148
2015/16,10 048,16 763,20 122,23 602,27 607,32 629,39 718,47 797,59 674,102 614,38 057
2016/17,10 584,17 512,22 006,24 593,28 543,33 841,40 342,48 018,61 255,101 663,38 836
2017/18,11 452,18 330,21 811,25 281,29 034,34 568,41 499,49 629,62 207,111 551,40 536
