Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,6 398,9 534,11 345,13 511,16 425,18 992,21 875,24 719,29 928,43 634,19 636
1999/00,7 099,9 426,11 386,14 005,17 021,19 731,22 389,25 625,30 778,46 269,20 373
2000/01,6 946,9 882,11 772,13 924,16 218,19 370,22 123,26 166,31 923,48 472,20 680
2001/02,7 293,10 495,12 709,14 690,17 525,20 374,23 805,27 205,33 461,49 765,21 732
2002/03,7 375,11 221,13 539,15 969,18 537,21 580,24 928,28 653,34 356,51 581,22 774
2003/04,7 709,12 209,14 753,17 315,20 056,23 164,26 406,29 530,35 704,55 001,24 185
2004/05,8 526,13 073,15 514,18 353,20 719,23 497,26 570,30 269,36 219,58 665,25 141
2005/06,9 123,13 180,15 864,18 608,20 926,23 880,27 542,31 363,38 227,60 029,25 874
2006/07,9 417,13 442,16 295,18 569,21 436,24 399,28 261,32 690,39 495,63 299,26 730
2007/08,9 530,13 870,16 771,19 369,22 510,26 157,29 166,34 498,40 379,65 063,27 731
2008/09,9 667,14 485,17 329,20 383,23 305,26 497,30 625,34 916,41 275,69 145,28 763
2009/10,9 943,14 340,17 627,20 457,23 215,26 284,29 730,34 520,41 553,66 927,28 460
2010/11,8 910,14 065,17 290,20 567,23 314,26 727,30 371,34 290,41 488,62 212,27 924
2011/12,9 398,14 252,17 586,19 603,23 689,26 273,28 999,34 280,40 267,56 817,27 116
2012/13,9 143,14 181,17 096,21 129,23 263,25 265,30 577,33 729,39 994,55 424,26 980
2013/14,9 044,14 112,18 048,19 601,22 166,24 715,28 189,30 668,40 005,53 751,26 030
2014/15,6 935,14 426,16 609,18 376,21 276,24 169,27 403,31 640,37 732,55 499,25 406
2015/16,7 465,13 937,16 201,19 358,21 502,24 303,28 343,32 198,37 899,53 545,25 475
2016/17,7 797,14 502,16 092,20 298,22 832,25 486,28 422,33 602,38 067,57 460,26 456
2017/18,9 010,14 670,17 890,20 347,22 602,26 395,29 160,33 634,40 040,57 264,27 101
