Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 968,12 631,15 923,19 272,23 154,26 886,31 026,37 062,45 645,77 411,29 698
1999/00,8 190,13 246,16 555,20 167,23 996,28 039,32 250,38 166,46 865,81 397,30 887
2000/01,8 537,13 767,17 079,21 125,24 906,29 310,34 066,40 142,49 411,90 774,32 912
2001/02,9 082,14 514,18 305,22 240,26 339,30 723,36 084,42 050,51 925,96 150,34 741
2002/03,9 497,15 024,19 016,23 169,27 426,31 757,37 194,43 379,53 077,95 172,35 471
2003/04,10 382,16 192,19 987,23 659,27 345,31 790,36 864,43 149,52 450,91 467,35 329
2004/05,10 572,16 053,19 830,23 697,27 380,31 774,36 603,43 251,52 239,91 378,35 278
2005/06,10 731,16 258,19 868,23 565,27 491,31 788,36 730,43 686,54 026,97 631,36 177
2006/07,10 244,15 929,19 661,24 159,28 293,32 740,37 650,44 915,56 599,103 094,37 328
2007/08,10 349,16 019,20 039,24 223,28 335,32 626,37 652,44 757,56 499,101 075,37 157
2008/09,10 746,16 436,20 649,24 658,28 628,33 135,38 280,45 069,58 177,99 221,37 500
2009/10,10 749,16 483,20 911,24 389,28 236,32 811,38 090,44 920,57 535,94 432,36 856
2010/11,11 112,17 025,20 704,24 191,27 751,32 253,37 903,45 511,56 919,93 862,36 723
2011/12,10 669,17 032,20 540,24 093,27 682,31 856,36 127,43 795,54 835,89 862,35 649
2012/13,11 186,17 107,20 611,24 294,27 607,32 170,36 518,43 071,53 903,95 993,36 246
2013/14,10 914,17 204,21 098,24 548,28 407,32 836,37 370,43 487,53 931,93 746,36 354
2014/15,11 082,17 578,21 275,24 916,28 808,33 546,37 952,44 341,53 952,95 744,36 919
2015/16,10 954,18 018,21 602,25 233,29 815,34 101,39 244,45 585,55 387,91 523,37 146
2016/17,11 683,18 501,22 173,25 995,31 006,35 055,40 146,46 753,56 654,93 608,38 157
2017/18,11 811,18 666,22 526,26 321,30 519,34 844,40 482,47 325,56 985,94 489,38 397
