Food Group;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Liquid wholemilk, including school and welfare;ml;971;886;1084;881;805;891;837;644;718;607;596;615;525;467;590;609;483;497;515
Other milk and cream;ml;1141;1163;1046;1123;1124;1114;1210;1313;1234;1188;1331;1249;1247;1259;1328;1295;1162;1326;1324
Processed potatoes;g;307;272;305;278;300;239;270;288;258;260;308;278;258;293;266;265;275;258;268
Fresh green vegetables;g;143;173;146;177;173;155;166;136;138;125;127;124;136;122;140;146;131;128;134
Other fresh vegetables;g;340;383;375;421;487;417;434;394;426;370;387;424;455;461;507;512;425;476;470
Processed vegetables excluding processed potatoes;g;360;385;341;321;327;309;358;340;325;317;330;349;343;312;295;269;256;287;312
Fresh fruit;g;515;572;532;589;608;612;605;530;484;458;492;487;582;557;648;671;608;646;615
Processed fruit and fruit products;g;289;322;258;301;340;353;290;286;323;217;265;260;290;237;261;246;243;241;239
White bread;g;523;493;485;436;428;376;405;375;353;347;357;339;304;277;284;283;266;256;238
Brown and wholemeal bread;g;113;119;107;134;128;120;139;130;116;105;158;121;133;125;127;133;144;116;134
