Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;
Milk and milk products excluding cheese;ml;2112;2049;2130;2004;1930;2005;2046;1958;1952;1795;1927;1864;1772;1727;1918;1903;1646;1823;1839;;;;;;;;
;ml;971;886;1084;881;805;891;837;644;718;607;596;615;525;467;590;609;483;497;515;;;;;;;;
;ml;899;766;956;781;712;800;753;587;649;607;596;615;525;467;590;609;483;497;515;;;;;;;;
;ml;12;11;40;13;28;38;9;24;7;9;2;4;3;6;7;2;0;4;5;;;;;;;;
;ml;33;25;7;5;11;6;2;4;6;0;2;1;2;0;8;6;0;0;0;;;;;;;;
;ml;855;729;909;764;673;755;742;560;635;598;592;610;519;461;575;601;483;493;510;;;;;;;;
;ml;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ml;72;120;128;100;93;91;84;57;69;;;;;;;;;;;;;;;;;;
;ml;1141;1163;1046;1123;1124;1114;1210;1313;1234;1188;1331;1249;1247;1259;1328;1295;1162;1326;1324;;;;;;;;
;ml;894;870;763;839;862;820;862;993;840;859;1044;892;884;973;983;947;838;935;939;;;;;;;;
;ml;103;138;72;79;77;93;112;106;104;87;106;66;78;98;101;113;76;110;102;;;;;;;;
;ml;791;732;691;761;785;727;750;887;736;772;938;826;805;875;882;833;762;825;837;;;;;;;;
;eq ml;22;30;23;33;10;23;33;25;20;20;17;26;47;19;34;36;29;36;20;;;;;;;;
;eq ml;24;22;27;39;42;62;90;51;143;83;63;95;59;34;64;66;81;58;13;;;;;;;;
;eq ml;2;0;6;3;8;7;5;0;4;7;1;2;0;1;0;1;0;3;0;;;;;;;;
;eq ml;23;21;21;37;34;55;84;51;139;76;62;93;59;33;64;66;81;55;13;;;;;;;;
;eq ml;13;17;20;6;10;13;3;8;7;10;3;7;6;4;3;4;4;19;12;;;;;;;;
;ml;109;121;115;120;135;131;138;142;140;134;122;123;151;125;158;147;99;170;168;;;;;;;;
;ml;96;103;98;105;117;106;117;122;117;119;103;110;134;109;141;128;89;159;164;;;;;;;;
;ml;13;18;17;15;18;25;21;20;22;16;19;13;17;16;16;19;11;11;5;;;;;;;;
;ml;68;90;89;73;56;55;72;86;75;72;74;95;89;89;74;82;94;86;156;;;;;;;;
;ml;29;32;36;32;33;28;33;32;31;33;39;33;37;28;31;34;44;35;31;;;;;;;;
