Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;
Milk and milk products excluding cheese;ml;2053;2143;2103;1949;2117;2055;1933;2114;2006;1903;2009;1998;1912;1883;1889;1875;1777;1689;1939;;;;;;;;
Cheese;g;105;110;106;106;110;108;114;112;118;113;124;105;115;106;114;112;141;126;140;;;;;;;;
Carcase meat;g;238;249;230;227;205;217;228;197;202;220;207;206;164;161;178;166;163;186;192;;;;;;;;
Non-carcase meat and meat products;g;823;803;818;862;798;806;770;771;788;793;809;850;775;723;811;848;756;784;811;;;;;;;;
Fish;g;145;137;165;155;161;151;156;142;164;139;139;143;128;146;136;136;132;146;147;;;;;;;;
Eggs;no.;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;
Fats;g;193;201;188;181;197;176;181;221;201;175;159;181;182;153;151;153;157;153;163;;;;;;;;
Sugar and preserves;g;153;157;139;130;144;128;115;139;141;121;126;133;117;117;114;111;133;118;101;;;;;;;;
Fresh and processed fruit and vegetables, including potatoes;g;3016;3069;3298;2941;3085;3096;2948;2975;2947;2757;2917;2947;2752;2719;2830;2836;3057;2774;3044;;;;;;;;
Fresh and processed vegetables, including potatoes;g;1971;2006;2067;1856;1974;1940;1748;1898;1930;1719;1868;1867;1696;1712;1797;1810;1798;1746;1887;;;;;;;;
Fresh and processed potatoes;g;934;923;951;817;912;862;754;801;842;732;788;806;718;694;726;749;673;702;707;;;;;;;;
Fresh and processed fruit and vegetables, excluding potatoes;g;2082;2146;2347;2124;2173;2234;2194;2175;2105;2025;2129;2141;2034;2025;2104;2087;2385;2072;2338;;;;;;;;
Fresh and processed vegetables, excluding potatoes;g;1036;1082;1116;1039;1062;1078;994;1097;1088;987;1080;1061;978;1018;1071;1060;1125;1044;1180;;;;;;;;
Fresh and processed fruit;g;1045;1064;1231;1085;1111;1156;1200;1077;1017;1038;1049;1080;1056;1007;1033;1026;1260;1029;1158;;;;;;;;
Bread;g;766;778;760;715;707;715;686;668;673;675;632;635;632;561;568;567;544;522;568;;;;;;;;
Flour;g;52;69;58;40;51;46;55;42;95;43;52;82;63;71;45;34;48;105;39;;;;;;;;
Cakes, buns and pastries;g;168;154;168;166;174;169;160;166;164;162;166;158;153;153;174;169;160;161;150;;;;;;;;
Biscuits and crispbreads;g;190;191;171;175;184;189;162;170;181;167;184;174;179;165;190;194;157;165;179;;;;;;;;
Other cereals and cereal products;g;487;527;501;470;493;529;567;476;563;509;529;508;613;572;533;528;642;626;580;;;;;;;;
Beverages;g;60;57;56;53;55;54;53;52;62;56;58;55;45;48;57;57;54;49;55;;;;;;;;
Other food and drink;g;624;613;662;671;693;727;730;662;675;622;717;678;746;663;814;821;979;817;946;;;;;;;;
Soft drinks;ml;1857;2070;2141;1853;1856;1823;1739;1710;1815;1763;1707;1582;1768;1552;1615;1689;1799;1713;1747;;;;;;;;
Confectionery;g;133;133;135;142;135;132;133;140;142;123;141;136;143;128;152;147;135;126;154;;;;;;;;
Alcoholic drinks;ml;648;642;754;707;711;677;627;623;754;718;643;572;602;538;659;697;667;747;774;;;;;;;;
