,Year,Bottom decile,Middle decile,Top decile
0,2003/2004,7654,22829,81700
1,2005/2006,8366,23396,88334
2,2008/2009,9219,25190,94341
3,2009/2010,9275,26435,101808
4,2010/2011,9622,25682,107454
5,2011/2012,10253,27464,101291
6,2012/2013,9743,26739,107224
7,2013/2014,9524,28957,104779
8,2014/2015,10700,30988,110062
9,2015/2016,10992,30497,110643
10,2016/2017,11584,32581,115040
11,2017/2018,14749,41633,141185
12,2018/2019,14432,42076,171346
13,2019/2020,15679,43630,187867
14,2020/2021,14034,44663,182169
15,2021/2022,14729,44717,196638
