Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 505,11 040,13 319,16 040,18 637,21 143,24 855,28 932,35 992,54 855,23 232
1999/00,7 540,11 431,13 973,16 659,19 624,22 331,25 594,29 767,36 376,57 923,24 122
2000/01,7 556,11 636,14 084,16 932,19 736,22 678,26 230,30 236,36 814,58 926,24 483
2001/02,8 075,12 199,14 700,17 740,20 700,23 693,27 149,31 204,38 509,59 589,25 356
2002/03,8 267,12 846,15 247,17 875,20 800,23 962,27 617,32 439,40 112,61 711,26 088
2003/04,8 684,13 261,15 918,18 719,22 018,25 165,29 291,33 519,41 791,64 385,27 275
2004/05,8 789,13 553,16 656,19 628,23 052,26 377,30 073,35 018,42 347,68 612,28 411
2005/06,8 977,14 234,17 298,20 480,23 733,27 354,31 270,36 398,43 488,69 235,29 247
2006/07,9 249,14 617,17 914,21 099,23 788,27 637,32 001,37 310,44 358,74 342,30 231
2007/08,9 029,15 225,18 338,21 459,24 228,28 657,33 054,37 681,45 353,74 066,30 709
2008/09,9 145,14 920,18 611,21 650,25 587,29 097,33 313,38 636,45 893,78 746,31 560
2009/10,9 088,15 201,19 029,23 148,26 384,30 003,34 314,39 682,48 644,81 900,32 739
2010/11,9 832,15 396,19 392,23 046,26 325,30 353,34 937,40 917,50 870,82 779,33 385
2011/12,10 416,15 860,19 445,22 651,26 177,29 787,34 689,40 458,50 543,83 175,33 320
2012/13,9 316,15 283,18 707,21 859,24 804,28 869,33 296,38 540,47 493,77 627,31 579
2013/14,9 151,15 359,18 612,21 865,24 653,28 514,32 324,37 490,44 844,74 693,30 750
2014/15,8 973,15 136,18 434,21 895,24 463,28 692,32 983,37 350,45 851,71 851,30 563
2015/16,9 834,15 734,18 913,22 171,25 156,29 173,33 811,38 964,46 971,74 698,31 542
2016/17,9 363,15 349,18 752,22 289,25 208,29 499,34 341,40 024,47 924,80 639,32 339
2017/18,9 260,15 170,18 853,22 482,25 298,28 538,34 872,39 624,46 917,77 616,31 863
