Year3,Bottom,2nd,3rd,4th,5th,6th,7th,8th,9th,Top,All
1998/99,7 004,10 241,12 391,15 196,17 883,20 838,24 453,29 326,34 872,55 230,22 743
1999/00,7 045,10 331,12 509,15 287,18 164,21 309,24 666,29 452,35 520,56 802,23 108
2000/01,7 375,10 945,13 370,16 332,19 257,22 294,25 569,30 354,37 093,62 005,24 459
2001/02,7 463,11 479,13 979,16 901,19 493,23 075,26 028,30 248,37 406,60 785,24 686
2002/03,7 987,12 288,14 779,17 232,20 673,23 748,26 893,32 238,38 041,64 974,25 885
2003/04,8 045,12 807,15 309,18 075,21 290,24 802,28 305,32 538,39 724,65 143,26 604
2004/05,8 873,13 417,16 341,19 018,22 340,25 569,29 209,34 218,41 290,67 001,27 728
2005/06,9 553,14 196,17 320,20 272,23 111,26 612,30 501,34 926,43 070,66 659,28 622
2006/07,9 777,14 084,17 203,19 962,23 069,26 161,30 791,35 315,43 116,66 673,28 615
2007/08,9 338,14 268,17 037,19 955,23 260,26 612,30 999,35 889,44 033,67 753,28 914
2008/09,9 431,13 980,16 584,19 767,22 565,26 022,30 168,35 061,42 987,67 575,28 414
2009/10,9 619,14 158,16 892,19 845,23 320,26 345,29 781,35 150,42 444,66 653,28 421
2010/11,9 433,14 293,16 881,19 891,23 253,26 186,29 091,34 813,40 995,65 541,28 038
2011/12,9 391,14 399,17 246,19 730,22 886,26 509,30 127,35 070,42 293,65 294,28 295
2012/13,9 267,14 244,16 861,19 530,22 295,25 748,29 480,34 841,41 530,69 146,28 294
2013/14,9 597,14 033,16 986,19 485,22 474,25 825,29 919,35 060,42 751,71 210,28 734
2014/15,9 749,14 216,17 213,19 850,22 705,26 025,29 520,34 954,41 870,70 865,28 697
2015/16,10 264,15 077,17 916,20 506,23 417,26 836,30 575,35 375,42 833,67 651,29 045
2016/17,10 657,15 704,18 475,21 049,23 844,27 327,31 049,36 677,44 103,67 713,29 660
2017/18,9 820,15 821,19 086,21 519,24 963,28 870,33 173,38 903,46 836,74 852,31 384
